
16192, 40, SHA-1, 1, 1681
16192, 40, SHA-1, 64, 18
16192, 40, SHA-1, 4096, 10
16192, 40, SHA-1, 262144, 129
16192, 56, SHA-224, 1, 637
16192, 56, SHA-224, 64, 15
16192, 56, SHA-224, 4096, 19
16192, 56, SHA-224, 262144, 103
16192, 64, SHA-256, 1, 601
16192, 64, SHA-256, 64, 15
16192, 64, SHA-256, 4096, 0
16192, 64, SHA-256, 262144, 116
16192, 96, SHA-384, 1, 855
16192, 96, SHA-384, 64, 16
16192, 96, SHA-384, 4096, 0
16192, 96, SHA-384, 262144, 132
16192, 128, SHA-512, 1, 1125
16192, 128, SHA-512, 64, 16
16192, 128, SHA-512, 4096, 15
16192, 128, SHA-512, 262144, 116
16192, 56, SHA3-224, 1, 533
16192, 56, SHA3-224, 64, 6
16192, 56, SHA3-224, 4096, 16
16192, 56, SHA3-224, 262144, 115
16192, 64, SHA3-256, 1, 602
16192, 64, SHA3-256, 64, 15
16192, 64, SHA3-256, 4096, 0
16192, 64, SHA3-256, 262144, 116
16192, 96, SHA3-384, 1, 840
16192, 96, SHA3-384, 64, 31
16192, 96, SHA3-384, 4096, 0
16192, 96, SHA3-384, 262144, 116
16192, 128, SHA3-512, 1, 1122
16192, 128, SHA3-512, 64, 17
16192, 128, SHA3-512, 4096, 0
16192, 128, SHA3-512, 262144, 116
24288, 40, SHA-1, 1, 532
24288, 40, SHA-1, 64, 23
24288, 40, SHA-1, 4096, 0
24288, 40, SHA-1, 262144, 100
24288, 56, SHA-224, 1, 734
24288, 56, SHA-224, 64, 31
24288, 56, SHA-224, 4096, 0
24288, 56, SHA-224, 262144, 122
24288, 64, SHA-256, 1, 818
24288, 64, SHA-256, 64, 31
24288, 64, SHA-256, 4096, 0
24288, 64, SHA-256, 262144, 100
24288, 96, SHA-384, 1, 1187
24288, 96, SHA-384, 64, 37
24288, 96, SHA-384, 4096, 0
24288, 96, SHA-384, 262144, 116
24288, 128, SHA-512, 1, 1588
24288, 128, SHA-512, 64, 31
24288, 128, SHA-512, 4096, 16
24288, 128, SHA-512, 262144, 116
24288, 56, SHA3-224, 1, 739
24288, 56, SHA3-224, 64, 16
24288, 56, SHA3-224, 4096, 15
24288, 56, SHA3-224, 262144, 116
24288, 64, SHA3-256, 1, 834
24288, 64, SHA3-256, 64, 22
24288, 64, SHA3-256, 4096, 16
24288, 64, SHA3-256, 262144, 115
24288, 96, SHA3-384, 1, 1250
24288, 96, SHA3-384, 64, 23
24288, 96, SHA3-384, 4096, 15
24288, 96, SHA3-384, 262144, 132
24288, 128, SHA3-512, 1, 1619
24288, 128, SHA3-512, 64, 38
24288, 128, SHA3-512, 4096, 16
24288, 128, SHA3-512, 262144, 115
40480, 40, SHA-1, 1, 887
40480, 40, SHA-1, 64, 32
40480, 40, SHA-1, 4096, 15
40480, 40, SHA-1, 262144, 116
40480, 56, SHA-224, 1, 1203
40480, 56, SHA-224, 64, 38
40480, 56, SHA-224, 4096, 15
40480, 56, SHA-224, 262144, 116
40480, 64, SHA-256, 1, 1373
40480, 64, SHA-256, 64, 47
40480, 64, SHA-256, 4096, 15
40480, 64, SHA-256, 262144, 120
40480, 96, SHA-384, 1, 2005
40480, 96, SHA-384, 64, 48
40480, 96, SHA-384, 4096, 15
40480, 96, SHA-384, 262144, 116
40480, 128, SHA-512, 1, 2660
40480, 128, SHA-512, 64, 69
40480, 128, SHA-512, 4096, 15
40480, 128, SHA-512, 262144, 116
40480, 56, SHA3-224, 1, 1219
40480, 56, SHA3-224, 64, 37
