y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
1681,13.98299357,5.321928095,0,0,0,0,0,0,0,0,0
18,13.98299357,5.321928095,6,0,0,0,0,0,0,0,0
10,13.98299357,5.321928095,12,0,0,0,0,0,0,0,0
129,13.98299357,5.321928095,18,0,0,0,0,0,0,0,0
637,13.98299357,5.807354922,0,1,0,0,0,0,0,0,0
15,13.98299357,5.807354922,6,1,0,0,0,0,0,0,0
19,13.98299357,5.807354922,12,1,0,0,0,0,0,0,0
103,13.98299357,5.807354922,18,1,0,0,0,0,0,0,0
601,13.98299357,6,0,0,1,0,0,0,0,0,0
15,13.98299357,6,6,0,1,0,0,0,0,0,0
0,13.98299357,6,12,0,1,0,0,0,0,0,0
116,13.98299357,6,18,0,1,0,0,0,0,0,0
855,13.98299357,6.584962501,0,0,0,1,0,0,0,0,0
16,13.98299357,6.584962501,6,0,0,1,0,0,0,0,0
0,13.98299357,6.584962501,12,0,0,1,0,0,0,0,0
132,13.98299357,6.584962501,18,0,0,1,0,0,0,0,0
1125,13.98299357,7,0,0,0,0,1,0,0,0,0
16,13.98299357,7,6,0,0,0,1,0,0,0,0
15,13.98299357,7,12,0,0,0,1,0,0,0,0
116,13.98299357,7,18,0,0,0,1,0,0,0,0
533,13.98299357,5.807354922,0,0,0,0,0,1,0,0,0
6,13.98299357,5.807354922,6,0,0,0,0,1,0,0,0
16,13.98299357,5.807354922,12,0,0,0,0,1,0,0,0
115,13.98299357,5.807354922,18,0,0,0,0,1,0,0,0
602,13.98299357,6,0,0,0,0,0,0,1,0,0
15,13.98299357,6,6,0,0,0,0,0,1,0,0
0,13.98299357,6,12,0,0,0,0,0,1,0,0
116,13.98299357,6,18,0,0,0,0,0,1,0,0
840,13.98299357,6.584962501,0,0,0,0,0,0,0,1,0
31,13.98299357,6.584962501,6,0,0,0,0,0,0,1,0
0,13.98299357,6.584962501,12,0,0,0,0,0,0,1,0
116,13.98299357,6.584962501,18,0,0,0,0,0,0,1,0
1122,13.98299357,7,0,0,0,0,0,0,0,0,1
17,13.98299357,7,6,0,0,0,0,0,0,0,1
0,13.98299357,7,12,0,0,0,0,0,0,0,1
116,13.98299357,7,18,0,0,0,0,0,0,0,1
532,14.56795608,5.321928095,0,0,0,0,0,0,0,0,0
23,14.56795608,5.321928095,6,0,0,0,0,0,0,0,0
0,14.56795608,5.321928095,12,0,0,0,0,0,0,0,0
100,14.56795608,5.321928095,18,0,0,0,0,0,0,0,0
734,14.56795608,5.807354922,0,1,0,0,0,0,0,0,0
31,14.56795608,5.807354922,6,1,0,0,0,0,0,0,0
0,14.56795608,5.807354922,12,1,0,0,0,0,0,0,0
